Respondent,LanguageWorkedWith,LanguageDesireNextYear,DatabaseWorkedWith,DatabaseDesireNextYear,PlatformWorkedWith,PlatformDesireNextYear,WebFrameWorkedWith,WebFrameDesireNextYear,DevEnviron,OpSys,Containers,BlockchainOrg,BlockchainIs
10019,JavaScript,SQL,Oracle,,,Microsoft Azure,,,,,,,
10019,Python,WebAssembly,PostgreSQL,,,Raspberry Pi,,,,,,,
10019,SQL,,SQLite,,,Windows,,,,,,,
10019,TypeScript,,,,,,,,,,,,
10019,WebAssembly,,,,,,,,,,,,
10022,C#,C#,Microsoft SQL Server,Microsoft SQL Server,AWS,AWS,ASP.NET,ASP.NET,Vim,,,,
10022,HTML/CSS,HTML/CSS,MySQL,MySQL,Windows,Docker,React.js,React.js,Visual Studio,,,,
10022,JavaScript,JavaScript,,,,Microsoft Azure,Vue.js,Vue.js,Visual Studio Code,,,,
10022,SQL,SQL,,,,Windows,,,,,,,
10022,TypeScript,TypeScript,,,,,,,,,,,
10023,Bash/Shell/PowerShell,Go,MongoDB,DynamoDB,,,Express,Express,Vim,,,,
10023,Go,JavaScript,MySQL,Elasticsearch,,,React.js,React.js,Visual Studio Code,,,,
10023,HTML/CSS,SQL,PostgreSQL,MongoDB,,,,,,,,,
10023,JavaScript,,SQLite,MySQL,,,,,,,,,
10023,SQL,,,PostgreSQL,,,,,,,,,
10023,,,,SQLite,,,,,,,,,
10024,C#,HTML/CSS,MongoDB,MongoDB,Arduino,Arduino,Express,Express,Visual Studio Code,,,,
10024,HTML/CSS,JavaScript,PostgreSQL,PostgreSQL,Heroku,Docker,React.js,React.js,,,,,
10024,JavaScript,Python,,,Raspberry Pi,Linux,,,,,,,
10024,PHP,TypeScript,,,,Raspberry Pi,,,,,,,
10024,Python,,,,,,,,,,,,
10025,C,C,SQLite,SQLite,iOS,iOS,ASP.NET,ASP.NET,Xcode,,,,
10025,C++,C++,,,WordPress,WordPress,,,,,,,
10025,Objective-C,Objective-C,,,,,,,,,,,
10025,Swift,Swift,,,,,,,,,,,
10028,HTML/CSS,Clojure,Oracle,,Android,Android,Angular/Angular.js,Spring,IntelliJ,,,,
10028,Java,HTML/CSS,,,Docker,Docker,Spring,Vue.js,IPython / Jupyter,,,,
10028,JavaScript,Java,,,Linux,Linux,,,Notepad++,,,,
10028,Kotlin,JavaScript,,,Other(s):,Raspberry Pi,,,Vim,,,,
10028,Python,Kotlin,,,,Other(s):,,,,,,,
10028,SQL,Python,,,,,,,,,,,
10028,,Scala,,,,,,,,,,,
10028,,SQL,,,,,,,,,,,
10028,,TypeScript,,,,,,,,,,,
10028,,Other(s):,,,,,,,,,,,
10032,Bash/Shell/PowerShell,Bash/Shell/PowerShell,Firebase,MongoDB,Docker,Slack,Angular/Angular.js,Angular/Angular.js,IPython / Jupyter,,,,
10032,C#,C#,MongoDB,Redis,Kubernetes,Windows,ASP.NET,ASP.NET,PyCharm,,,,
10032,HTML/CSS,HTML/CSS,Microsoft SQL Server,,Linux,Other(s):,Express,Express,Visual Studio,,,,
10032,JavaScript,JavaScript,,,Microsoft Azure,,Flask,Flask,,,,,
10032,Python,Python,,,Slack,,React.js,React.js,,,,,
10032,SQL,TypeScript,,,Windows,,Vue.js,Vue.js,,,,,
10032,TypeScript,,,,Other(s):,,,,,,,,
10033,Go,C++,PostgreSQL,PostgreSQL,Android,Android,Express,Express,Android Studio,,,,
10033,HTML/CSS,Go,SQLite,,AWS,AWS,Flask,Flask,IntelliJ,,,,
10033,Java,HTML/CSS,,,Docker,Heroku,React.js,React.js,PyCharm,,,,
10033,JavaScript,JavaScript,,,Heroku,,Ruby on Rails,Ruby on Rails,Visual Studio Code,,,,
10033,Python,Python,,,Slack,,,,,,,,
10033,Ruby,Rust,,,,,,,,,,,
10033,SQL,SQL,,,,,,,,,,,
10034,Bash/Shell/PowerShell,Go,PostgreSQL,Cassandra,Linux,Docker,Angular/Angular.js,Express,Visual Studio,,,,
10034,HTML/CSS,JavaScript,,Elasticsearch,WordPress,Linux,Express,React.js,Visual Studio Code,,,,
10034,Java,Python,,Firebase,,,jQuery,Vue.js,,,,,
10034,JavaScript,R,,PostgreSQL,,,React.js,,,,,,
10034,Python,TypeScript,,,,,,,,,,,
10035,Assembly,Bash/Shell/PowerShell,Cassandra,DynamoDB,AWS,AWS,jQuery,Spring,IntelliJ,,,,
10035,Bash/Shell/PowerShell,Java,DynamoDB,Elasticsearch,Docker,Docker,Spring,,Visual Studio Code,,,,
10035,C,JavaScript,Elasticsearch,MariaDB,Heroku,Linux,,,,,,,
10035,C++,TypeScript,MariaDB,MySQL,Kubernetes,Slack,,,,,,,
10035,C#,,MySQL,Oracle,Linux,,,,,,,,
10035,Go,,Oracle,PostgreSQL,Slack,,,,,,,,
10035,HTML/CSS,,PostgreSQL,Redis,Windows,,,,,,,,
10035,Java,,Redis,SQLite,,,,,,,,,
10035,JavaScript,,SQLite,,,,,,,,,,
10035,PHP,,,,,,,,,,,,
10035,Python,,,,,,,,,,,,
10035,Ruby,,,,,,,,,,,,
10035,SQL,,,,,,,,,,,,
10035,TypeScript,,,,,,,,,,,,
10036,HTML/CSS,HTML/CSS,Microsoft SQL Server,Microsoft SQL Server,Android,Android,jQuery,jQuery,Android Studio,,,,
10036,Java,Java,,MySQL,Windows,Windows,,Laravel,Notepad++,,,,
10036,JavaScript,JavaScript,,PostgreSQL,,,,,,,,,
10036,SQL,PHP,,SQLite,,,,,,,,,
10036,VBA,SQL,,,,,,,,,,,
10036,,VBA,,,,,,,,,,,
10037,Bash/Shell/PowerShell,Bash/Shell/PowerShell,Elasticsearch,,Docker,Docker,Django,,IntelliJ,,,,
10037,Java,Go,MariaDB,,Kubernetes,Kubernetes,Spring,,PyCharm,,,,
10037,JavaScript,Python,MongoDB,,Linux,Linux,,,Visual Studio Code,,,,
10037,Python,SQL,Redis,,,,,,,,,,
10037,SQL,,,,,,,,,,,,
10038,Bash/Shell/PowerShell,Bash/Shell/PowerShell,Cassandra,Cassandra,Docker,Docker,Spring,Spring,IntelliJ,,,,
10038,Java,Java,PostgreSQL,PostgreSQL,Linux,Kubernetes,,,Vim,,,,
10038,SQL,SQL,,,,Linux,,,,,,,
10038,Other(s):,Other(s):,,,,,,,,,,,
10040,HTML/CSS,HTML/CSS,Elasticsearch,DynamoDB,AWS,AWS,Django,Django,IPython / Jupyter,,,,
10040,JavaScript,JavaScript,MongoDB,Elasticsearch,Linux,Docker,Flask,Flask,PyCharm,,,,
10040,Python,Python,PostgreSQL,Firebase,Slack,Kubernetes,jQuery,jQuery,Sublime Text,,,,
10040,SQL,SQL,,MongoDB,,Linux,React.js,React.js,,,,,
10040,,,,MySQL,,MacOS,,,,,,,
10040,,,,PostgreSQL,,Slack,,,,,,,
10040,,,,Redis,,,,,,,,,
10041,Bash/Shell/PowerShell,C++,Firebase,,Android,Android,ASP.NET,,Android Studio,,,,
10041,C++,Java,SQLite,,Heroku,,jQuery,,IntelliJ,,,,
10041,HTML/CSS,Kotlin,,,iOS,,,,Sublime Text,,,,
10041,Java,TypeScript,,,,,,,,,,,
10041,JavaScript,,,,,,,,,,,,
10041,Kotlin,,,,,,,,,,,,
10041,Objective-C,,,,,,,,,,,,
10041,Swift,,,,,,,,,,,,
10041,TypeScript,,,,,,,,,,,,
10042,C#,C#,Microsoft SQL Server,Microsoft SQL Server,AWS,AWS,Angular/Angular.js,,Visual Studio,,,,
10042,JavaScript,JavaScript,PostgreSQL,PostgreSQL,Windows,Windows,,,Visual Studio Code,,,,
10042,SQL,SQL,,,,,,,,,,,
10042,TypeScript,TypeScript,,,,,,,,,,,
10043,Bash/Shell/PowerShell,Bash/Shell/PowerShell,Microsoft SQL Server,Cassandra,AWS,Android,ASP.NET,Angular/Angular.js,Notepad++,,,,
10043,C#,C,PostgreSQL,MongoDB,Linux,AWS,jQuery,ASP.NET,Sublime Text,,,,
10043,F#,C++,,Microsoft SQL Server,MacOS,Google Cloud Platform,,jQuery,Visual Studio,,,,
10043,HTML/CSS,C#,,MySQL,Microsoft Azure,Linux,,React.js,Visual Studio Code,,,,
10043,JavaScript,F#,,PostgreSQL,Windows,MacOS,,,,,,,
10043,PHP,HTML/CSS,,,WordPress,Microsoft Azure,,,,,,,
10043,SQL,Java,,,,Windows,,,,,,,
10043,,JavaScript,,,,WordPress,,,,,,,
10043,,SQL,,,,,,,,,,,
10044,HTML/CSS,Dart,Microsoft SQL Server,Cassandra,Arduino,Android,Express,Angular/Angular.js,IntelliJ,,,,
10044,Java,Go,MySQL,MongoDB,Heroku,AWS,React.js,Django,RStudio,,,,
10044,JavaScript,Java,,PostgreSQL,Linux,Docker,,Express,Visual Studio Code,,,,
10044,R,JavaScript,,,,Google Cloud Platform,,Laravel,,,,,
10044,SQL,Kotlin,,,,Kubernetes,,React.js,,,,,
10044,,Python,,,,Microsoft Azure,,Vue.js,,,,,
10045,Elixir,Elixir,Firebase,Firebase,Android,Android,Angular/Angular.js,Angular/Angular.js,Android Studio,,,,
10045,Go,Go,PostgreSQL,PostgreSQL,Docker,Docker,Express,Express,Emacs,,,,
10045,Kotlin,Kotlin,Redis,Redis,Heroku,Heroku,React.js,React.js,RubyMine,,,,
10045,Ruby,Ruby,,,iOS,iOS,Ruby on Rails,Ruby on Rails,Vim,,,,
10045,Swift,Swift,,,Linux,Linux,Vue.js,Vue.js,Visual Studio Code,,,,
10045,TypeScript,TypeScript,,,MacOS,MacOS,,,Xcode,,,,
10045,,,,,Raspberry Pi,Raspberry Pi,,,,,,,
10045,,,,,Slack,Slack,,,,,,,
10046,C++,C++,Firebase,Firebase,Android,Android,Flask,Flask,Atom,,,,
10046,Python,HTML/CSS,,,AWS,Docker,jQuery,jQuery,IntelliJ,,,,
10046,,Java,,,Docker,IBM Cloud or Watson,,React.js,IPython / Jupyter,,,,
10046,,JavaScript,,,iOS,iOS,,,PyCharm,,,,
10046,,Objective-C,,,Linux,Linux,,,Sublime Text,,,,
10046,,Python,,,,,,,Xcode,,,,
10051,C#,C#,Microsoft SQL Server,,Android,Android,,,Android Studio,,,,
10051,Java,Clojure,,,Docker,Docker,,,IntelliJ,,,,
10051,,Elixir,,,Linux,Linux,,,Notepad++,,,,
10051,,Erlang,,,Microsoft Azure,Microsoft Azure,,,RStudio,,,,
10051,,F#,,,Windows,Raspberry Pi,,,Sublime Text,,,,
10051,,,,,,,,,Visual Studio,,,,
10051,,,,,,,,,Visual Studio Code,,,,
10051,,,,,,,,,Xcode,,,,
10052,Bash/Shell/PowerShell,Bash/Shell/PowerShell,MariaDB,MariaDB,Arduino,Arduino,Express,Express,Atom,,,,
10052,C,HTML/CSS,Microsoft SQL Server,Microsoft SQL Server,Docker,Docker,jQuery,jQuery,Eclipse,,,,
10052,C++,Java,PostgreSQL,PostgreSQL,Linux,Windows,,Vue.js,Notepad++,,,,
10052,HTML/CSS,JavaScript,,Other(s):,Windows,,,,,,,,
10052,Java,Python,,,,,,,,,,,
10052,JavaScript,SQL,,,,,,,,,,,
10052,SQL,Other(s):,,,,,,,,,,,
10052,Other(s):,,,,,,,,,,,,
10059,Bash/Shell/PowerShell,Bash/Shell/PowerShell,MongoDB,PostgreSQL,AWS,AWS,Angular/Angular.js,ASP.NET,Visual Studio Code,,,,
10059,JavaScript,C#,PostgreSQL,Redis,Docker,Docker,Express,Express,,,,,
10059,Python,JavaScript,Redis,SQLite,Linux,Linux,Flask,,,,,,
10059,Ruby,SQL,SQLite,,MacOS,Windows,jQuery,,,,,,
10059,SQL,TypeScript,,,,,Ruby on Rails,,,,,,
10059,TypeScript,WebAssembly,,,,,,,,,,,
10060,Bash/Shell/PowerShell,Bash/Shell/PowerShell,Elasticsearch,Elasticsearch,Docker,Docker,Vue.js,Vue.js,IntelliJ,,,,
10060,Go,Go,MariaDB,MariaDB,Kubernetes,Kubernetes,,,PyCharm,,,,
10060,HTML/CSS,Java,MySQL,MySQL,Linux,Linux,,,Vim,,,,
10060,Java,Python,,PostgreSQL,,,,,,,,,
10060,JavaScript,Rust,,,,,,,,,,,
10060,Python,,,,,,,,,,,,
10062,Java,Java,MariaDB,MariaDB,Docker,Docker,Other(s):,Other(s):,IntelliJ,,,,
10062,SQL,SQL,Microsoft SQL Server,Microsoft SQL Server,MacOS,MacOS,,,,,,,
10062,,,MySQL,MySQL,,,,,,,,,
10062,,,Oracle,Oracle,,,,,,,,,
10062,,,PostgreSQL,PostgreSQL,,,,,,,,,
10062,,,Other(s):,Other(s):,,,,,,,,,
10063,JavaScript,JavaScript,MariaDB,MariaDB,Android,Linux,Angular/Angular.js,Angular/Angular.js,IntelliJ,,,,
10063,PHP,PHP,MySQL,MySQL,Linux,Windows,Laravel,Laravel,PHPStorm,,,,
10063,,,Redis,Redis,Windows,,Spring,Spring,Sublime Text,,,,
10064,Java,Dart,Firebase,Firebase,Android,Google Cloud Platform,,Ruby on Rails,Android Studio,,,,
10064,,F#,,MongoDB,Linux,IBM Cloud or Watson,,,,,,,
10064,,Kotlin,,PostgreSQL,,Linux,,,,,,,
10064,,Python,,,,,,,,,,,
10064,,Swift,,,,,,,,,,,
10066,HTML/CSS,HTML/CSS,PostgreSQL,PostgreSQL,Raspberry Pi,AWS,Django,Django,PyCharm,,,,
10066,JavaScript,JavaScript,,,,Docker,,React.js,,,,,
10066,Python,Python,,,,Heroku,,,,,,,
10066,,Swift,,,,MacOS,,,,,,,
10066,,,,,,Raspberry Pi,,,,,,,
10066,,,,,,Slack,,,,,,,
10067,C#,C#,Microsoft SQL Server,Microsoft SQL Server,Docker,Android,Angular/Angular.js,ASP.NET,Notepad++,,,,
10067,HTML/CSS,HTML/CSS,SQLite,MySQL,Heroku,Docker,ASP.NET,React.js,Sublime Text,,,,
10067,JavaScript,JavaScript,,,iOS,Heroku,React.js,,Visual Studio,,,,
10067,SQL,Swift,,,Kubernetes,iOS,,,Visual Studio Code,,,,
10067,Swift,,,,MacOS,Kubernetes,,,Xcode,,,,
10067,,,,,Slack,MacOS,,,,,,,
10067,,,,,Windows,Slack,,,,,,,
10068,HTML/CSS,,PostgreSQL,,Docker,Microsoft Azure,Angular/Angular.js,Angular/Angular.js,IntelliJ,,,,
10068,JavaScript,,,,Kubernetes,,Django,Django,Visual Studio Code,,,,
10068,Python,,,,,,Express,Vue.js,,,,,
10068,TypeScript,,,,,,Vue.js,,,,,,
10070,Bash/Shell/PowerShell,Bash/Shell/PowerShell,Cassandra,MySQL,AWS,AWS,Angular/Angular.js,Flask,Atom,,,,
10070,HTML/CSS,HTML/CSS,Elasticsearch,,WordPress,,Flask,jQuery,Coda,,,,
10070,JavaScript,JavaScript,MySQL,,,,jQuery,React.js,Sublime Text,,,,
10070,PHP,Python,,,,,React.js,,Vim,,,,
10070,Python,Ruby,,,,,,,,,,,
10070,SQL,,,,,,,,,,,,
10073,C#,C#,DynamoDB,DynamoDB,AWS,AWS,jQuery,Laravel,PHPStorm,,,,
10073,Go,Go,MariaDB,MariaDB,Docker,Docker,Laravel,React.js,Visual Studio Code,,,,
10073,HTML/CSS,JavaScript,MongoDB,MongoDB,Google Cloud Platform,iOS,React.js,Vue.js,Xcode,,,,
10073,JavaScript,PHP,MySQL,Redis,Heroku,,,,,,,,
10073,PHP,Swift,PostgreSQL,,iOS,,,,,,,,
10073,SQL,,Redis,,MacOS,,,,,,,,
10073,Swift,,,,Windows,,,,,,,,
10073,TypeScript,,,,,,,,,,,,
10077,Bash/Shell/PowerShell,C++,SQLite,SQLite,Kubernetes,Kubernetes,ASP.NET,ASP.NET,Visual Studio,,,,
10077,C#,C#,Other(s):,Other(s):,Microsoft Azure,Microsoft Azure,,,Visual Studio Code,,,,
10077,,,,,Raspberry Pi,Raspberry Pi,,,,,,,
10077,,,,,Windows,Windows,,,,,,,
10078,C#,C,SQLite,PostgreSQL,Android,Windows,ASP.NET,,Sublime Text,,,,
10078,,C++,,SQLite,Windows,,,,Visual Studio,,,,
10078,,C#,,,,,,,Visual Studio Code,,,,
10078,,Rust,,,,,,,,,,,
10081,Bash/Shell/PowerShell,HTML/CSS,MySQL,PostgreSQL,AWS,AWS,Django,Django,PyCharm,,,,
10081,HTML/CSS,JavaScript,PostgreSQL,,iOS,Docker,React.js,React.js,Visual Studio Code,,,,
10081,JavaScript,Python,,,Linux,iOS,,,Xcode,,,,
10081,Python,Rust,,,,Kubernetes,,,,,,,
10081,SQL,Swift,,,,Linux,,,,,,,
10081,,TypeScript,,,,,,,,,,,
10082,Bash/Shell/PowerShell,Clojure,Elasticsearch,Elasticsearch,Arduino,Arduino,jQuery,React.js,Vim,,,,
10082,Clojure,Elixir,MongoDB,PostgreSQL,AWS,AWS,React.js,Ruby on Rails,,,,,
10082,Java,Ruby,PostgreSQL,Redis,Docker,Heroku,Ruby on Rails,Vue.js,,,,,
10082,JavaScript,Rust,Redis,SQLite,Heroku,Linux,Vue.js,,,,,,
10082,Ruby,SQL,SQLite,,Linux,,,,,,,,
10082,SQL,,,,Slack,,,,,,,,
10083,C#,Java,MariaDB,Oracle,Android,Android,ASP.NET,Angular/Angular.js,Android Studio,,,,
10083,HTML/CSS,Python,Microsoft SQL Server,SQLite,Windows,Arduino,jQuery,React.js,Atom,,,,
10083,JavaScript,,MySQL,,,IBM Cloud or Watson,,Vue.js,NetBeans,,,,
10083,PHP,,,,,Microsoft Azure,,,Notepad++,,,,
10083,SQL,,,,,,,,Visual Studio,,,,
10083,VBA,,,,,,,,Visual Studio Code,,,,
10085,C#,C#,Oracle,Oracle,Windows,iOS,ASP.NET,Django,Eclipse,,,,
10085,Java,Java,,,,Linux,,jQuery,NetBeans,,,,
10085,VBA,,,,,Windows,,Spring,Visual Studio,,,,
10085,,,,,,,,,Visual Studio Code,,,,
10086,Dart,JavaScript,Firebase,Firebase,AWS,AWS,Express,Express,IntelliJ,,,,
10086,HTML/CSS,Python,MongoDB,SQLite,Docker,Docker,React.js,React.js,IPython / Jupyter,,,,
10086,Java,Scala,SQLite,,Google Cloud Platform,Google Cloud Platform,,,Visual Studio Code,,,,
10086,JavaScript,SQL,,,Linux,Linux,,,,,,,
10086,Python,,,,Raspberry Pi,Raspberry Pi,,,,,,,
10086,Scala,,,,,,,,,,,,
10086,SQL,,,,,,,,,,,,
10087,Java,Java,MariaDB,MariaDB,Android,Android,,,Android Studio,,,,
10087,Kotlin,Kotlin,MySQL,MySQL,Docker,Docker,,,IntelliJ,,,,
10087,,,,,MacOS,iOS,,,,,,,
10087,,,,,Slack,MacOS,,,,,,,
10087,,,,,,Slack,,,,,,,
10091,Assembly,Bash/Shell/PowerShell,Elasticsearch,Elasticsearch,Docker,Docker,Angular/Angular.js,ASP.NET,Notepad++,,,,
10091,Bash/Shell/PowerShell,C#,MongoDB,MongoDB,Kubernetes,Linux,ASP.NET,,Visual Studio,,,,
10091,C#,SQL,Microsoft SQL Server,Microsoft SQL Server,Linux,Microsoft Azure,jQuery,,,,,,
10091,Erlang,,MySQL,,Microsoft Azure,Windows,,,,,,,
10091,HTML/CSS,,Oracle,,Slack,,,,,,,,
10091,Java,,,,Windows,,,,,,,,
10091,JavaScript,,,,,,,,,,,,
10091,PHP,,,,,,,,,,,,
10091,Python,,,,,,,,,,,,
10091,SQL,,,,,,,,,,,,
10101,Bash/Shell/PowerShell,Bash/Shell/PowerShell,Oracle,PostgreSQL,Docker,AWS,Angular/Angular.js,Spring,IntelliJ,,,,
10101,Java,Java,PostgreSQL,,Heroku,Docker,Spring,,Vim,,,,
10101,,Python,,,Linux,Heroku,,,,,,,
10101,,Rust,,,,Linux,,,,,,,
10108,Assembly,Assembly,,,iOS,iOS,,,Sublime Text,,,,
10108,Bash/Shell/PowerShell,Bash/Shell/PowerShell,,,MacOS,MacOS,,,Xcode,,,,
10108,C,C,,,,,,,,,,,
10108,Objective-C,Objective-C,,,,,,,,,,,
10108,Python,Python,,,,,,,,,,,
10108,Swift,Swift,,,,,,,,,,,
10111,C#,C#,Firebase,Firebase,Windows,Windows,ASP.NET,ASP.NET,Notepad++,,,,
10111,HTML/CSS,HTML/CSS,Microsoft SQL Server,Microsoft SQL Server,,,jQuery,jQuery,Visual Studio,,,,
10111,JavaScript,JavaScript,Oracle,Oracle,,,,,,,,,
10111,SQL,SQL,SQLite,SQLite,,,,,,,,,
10111,VBA,,,,,,,,,,,,
10111,Other(s):,,,,,,,,,,,,
10112,Bash/Shell/PowerShell,Assembly,Microsoft SQL Server,Microsoft SQL Server,Android,Arduino,ASP.NET,ASP.NET,Notepad++,,,,
10112,C#,Bash/Shell/PowerShell,,,Arduino,Linux,jQuery,jQuery,Visual Studio,,,,
10112,HTML/CSS,C++,,,iOS,MacOS,,,Visual Studio Code,,,,
10112,JavaScript,C#,,,Windows,Raspberry Pi,,,,,,,
10112,SQL,HTML/CSS,,,,Windows,,,,,,,
10112,Other(s):,JavaScript,,,,,,,,,,,
10112,,SQL,,,,,,,,,,,
10118,Bash/Shell/PowerShell,Bash/Shell/PowerShell,Microsoft SQL Server,Microsoft SQL Server,Arduino,Arduino,ASP.NET,ASP.NET,Notepad++,,,,
10118,C#,C#,MySQL,MySQL,Windows,Raspberry Pi,,,Visual Studio,,,,
10118,Python,Python,,,,Windows,,,Visual Studio Code,,,,
10118,SQL,SQL,,,,,,,,,,,
10118,VBA,,,,,,,,,,,,
10120,Bash/Shell/PowerShell,C#,DynamoDB,DynamoDB,AWS,AWS,Angular/Angular.js,ASP.NET,Visual Studio,,,,
10120,C#,HTML/CSS,Elasticsearch,Microsoft SQL Server,Microsoft Azure,Microsoft Azure,ASP.NET,Vue.js,Visual Studio Code,,,,
10120,HTML/CSS,,Microsoft SQL Server,MySQL,,,Vue.js,,,,,,
10120,Java,,MySQL,,,,,,,,,,
10120,,,Redis,,,,,,,,,,
10121,Bash/Shell/PowerShell,Bash/Shell/PowerShell,Cassandra,Elasticsearch,Arduino,Docker,ASP.NET,Spring,Eclipse,,,,
10121,C#,C#,Elasticsearch,MySQL,Docker,Linux,Spring,,IntelliJ,,,,
10121,HTML/CSS,Go,Microsoft SQL Server,Redis,Kubernetes,Windows,,,Sublime Text,,,,
10121,Java,HTML/CSS,MySQL,,Linux,,,,Vim,,,,
10121,JavaScript,Java,Redis,,Raspberry Pi,,,,Visual Studio,,,,
10121,SQL,JavaScript,,,Windows,,,,Visual Studio Code,,,,
10121,,Python,,,,,,,,,,,
10121,,SQL,,,,,,,,,,,
10125,Bash/Shell/PowerShell,Bash/Shell/PowerShell,Elasticsearch,Elasticsearch,Android,Android,,,Android Studio,,,,
10125,C#,C#,Microsoft SQL Server,Microsoft SQL Server,Docker,Docker,,,Notepad++,,,,
10125,Dart,,PostgreSQL,PostgreSQL,Windows,Windows,,,Visual Studio,,,,
10125,Java,,SQLite,SQLite,,,,,,,,,
10127,C#,C#,Firebase,MySQL,Slack,Android,React.js,React.js,Atom,,,,
10127,HTML/CSS,HTML/CSS,MySQL,Oracle,Windows,Windows,,,Notepad++,,,,
10127,JavaScript,JavaScript,Oracle,SQLite,,,,,Visual Studio,,,,
10127,SQL,SQL,SQLite,,,,,,Visual Studio Code,,,,
10130,Bash/Shell/PowerShell,Bash/Shell/PowerShell,Microsoft SQL Server,MongoDB,Docker,AWS,Angular/Angular.js,Angular/Angular.js,IntelliJ,,,,
10130,C,C#,MySQL,Microsoft SQL Server,Kubernetes,Docker,ASP.NET,ASP.NET,IPython / Jupyter,,,,
10130,C#,Go,PostgreSQL,,Linux,Kubernetes,jQuery,,Notepad++,,,,
10130,HTML/CSS,HTML/CSS,,,Microsoft Azure,Linux,,,PyCharm,,,,
10130,Java,JavaScript,,,Slack,Microsoft Azure,,,Visual Studio,,,,
10130,JavaScript,Kotlin,,,Windows,Slack,,,Visual Studio Code,,,,
10130,Python,Python,,,,Windows,,,,,,,
10130,SQL,Scala,,,,,,,,,,,
10130,TypeScript,SQL,,,,,,,,,,,
10130,,TypeScript,,,,,,,,,,,
10133,JavaScript,Java,Elasticsearch,PostgreSQL,Linux,MacOS,Django,Spring,Eclipse,,,,
10133,Python,,MongoDB,,,,Flask,,IntelliJ,,,,
10133,,,MySQL,,,,,,Vim,,,,
10134,Bash/Shell/PowerShell,Bash/Shell/PowerShell,Elasticsearch,Elasticsearch,Android,Android,ASP.NET,ASP.NET,Android Studio,,,,
10134,C#,C#,MySQL,MySQL,Docker,Docker,Express,Express,IntelliJ,,,,
10134,HTML/CSS,HTML/CSS,Redis,Redis,iOS,iOS,jQuery,jQuery,Notepad++,,,,
10134,Java,Java,SQLite,SQLite,Linux,Linux,Spring,Spring,Vim,,,,
10134,JavaScript,JavaScript,,,Windows,Windows,Vue.js,Vue.js,Visual Studio,,,,
10134,,,,,WordPress,,,,Visual Studio Code,,,,
10138,Bash/Shell/PowerShell,Bash/Shell/PowerShell,Microsoft SQL Server,Cassandra,Docker,Android,,Angular/Angular.js,Eclipse,,,,
10138,C,HTML/CSS,PostgreSQL,Couchbase,Google Cloud Platform,Arduino,,ASP.NET,IntelliJ,,,,
10138,C++,Java,,DynamoDB,Kubernetes,AWS,,Django,Notepad++,,,,
10138,Python,JavaScript,,Elasticsearch,Linux,Heroku,,Drupal,PyCharm,,,,
10138,R,Scala,,Firebase,Microsoft Azure,IBM Cloud or Watson,,Express,RStudio,,,,
10138,SQL,,,MariaDB,Slack,iOS,,Flask,,,,,
10138,,,,MongoDB,Windows,MacOS,,jQuery,,,,,
10138,,,,MySQL,WordPress,Raspberry Pi,,Laravel,,,,,
10138,,,,Oracle,,,,React.js,,,,,
10138,,,,Redis,,,,Ruby on Rails,,,,,
10138,,,,SQLite,,,,Spring,,,,,
10138,,,,,,,,Vue.js,,,,,
10140,C,C++,Firebase,Firebase,Android,Android,ASP.NET,ASP.NET,Android Studio,,,,
10140,C++,C#,MySQL,MySQL,Arduino,iOS,jQuery,Laravel,IntelliJ,,,,
10140,HTML/CSS,Java,PostgreSQL,,iOS,Windows,Laravel,Spring,Sublime Text,,,,
10140,Java,,SQLite,,Slack,,Spring,,Vim,,,,
10140,JavaScript,,,,Windows,,,,Visual Studio,,,,
10140,PHP,,,,WordPress,,,,Xcode,,,,
10140,Swift,,,,,,,,,,,,
10141,HTML/CSS,HTML/CSS,MySQL,Firebase,Linux,Android,Angular/Angular.js,Laravel,Android Studio,,,,
10141,JavaScript,Java,SQLite,MariaDB,Raspberry Pi,Google Cloud Platform,Django,Vue.js,Atom,,,,
10141,PHP,JavaScript,,MongoDB,Windows,Linux,jQuery,,PHPStorm,,,,
10141,Python,Kotlin,,,WordPress,Windows,Laravel,,PyCharm,,,,
10141,SQL,PHP,,,,,Vue.js,,Sublime Text,,,,
10141,,Python,,,,,,,,,,,
10142,Bash/Shell/PowerShell,C#,Elasticsearch,Cassandra,Arduino,Arduino,React.js,React.js,Visual Studio Code,,,,
10142,C#,TypeScript,Microsoft SQL Server,Elasticsearch,Docker,iOS,,,,,,,
10142,HTML/CSS,WebAssembly,Redis,Redis,iOS,Windows,,,,,,,
10142,Java,,,,Linux,,,,,,,,
10142,JavaScript,,,,Raspberry Pi,,,,,,,,
10142,SQL,,,,Windows,,,,,,,,
10142,TypeScript,,,,,,,,,,,,
10144,Bash/Shell/PowerShell,Go,Oracle,Cassandra,Android,Docker,Express,,IntelliJ,,,,
10144,Java,Kotlin,PostgreSQL,Couchbase,iOS,Kubernetes,React.js,,Vim,,,,
10144,JavaScript,,,,Microsoft Azure,,,,Visual Studio Code,,,,
10144,TypeScript,,,,,,,,,,,,
10145,JavaScript,JavaScript,Firebase,SQLite,iOS,Android,Express,Express,IntelliJ,,,,
10145,Swift,Kotlin,SQLite,,,Arduino,,React.js,Visual Studio Code,,,,
10145,,Swift,,,,Docker,,Vue.js,Xcode,,,,
10145,,,,,,IBM Cloud or Watson,,,,,,,
10145,,,,,,iOS,,,,,,,
